Instructor,Instructor_Title,Department,Courses,Course_count,Sum_MaxCredits,Sum_Enrollment,Sum_Capacity
"Rapp, Randy R.","Purdue SCMT Named Professor of Disaster Restoration and Reconstruction, Associate Professor ",Schl of Construction Mgmt Tech,"[('CM', 10000), ('CM', 25000), ('CM', 35000), ('CM', 41000)]",4,21.5,292,401
"Raskin, Victor",Distinguished Professor,Computer Information Tech,"[('CNIT', 58100)]",1,3.0,6,5
"Rawles, Phillip T.",Associate Professor,Computer Information Tech,"[('CNIT', 34210), ('CNIT', 34220), ('CNIT', 45500)]",3,7.0,188,215
"Rayz, Julia M.",Professor and Associate Department Head,Computer Information Tech,"[('CNIT', 31500), ('CNIT', 58100)]",2,6.0,141,145
"Renkert, Sarah R.",Assistant Professor of Practice,Purdue Polytechnic Inst Admin,"[('TECH', 22000)]",1,3.0,14,40
"Renkert, Sarah R.",Assistant Professor of Practice,Technology Ldrshp & Innovatn,"[('TLI', 36700)]",1,3.0,1,40
"Richards, Grant P.",Assistant Professor of Practice,School of Engineering Tech,"[('MET', 28400), ('ECET', 30201), ('MFET', 37400)]",3,9.0,184,366
"Richardson, Jeffrey J.",Assistant Professor of Practice,School of Engineering Tech,"[('ECET', 17900), ('ECET', 27000), ('ECET', 42301)]",3,9.0,151,160
"Ringenberg, Tatiana R.",Assistant Professor,Computer Information Tech,"[('CNIT', 32200), ('CNIT', 62300)]",2,6.0,61,60
"Rogers, Marcus K.","Associate Dean for Faculty, Professor and Director of Cyber Forensics Lab",Computer Information Tech,"[('CNIT', 55600), ('CNIT', 62300)]",2,6.0,27,44
"Ropp, Timothy D.",Clinical Professor,Schl of Aviation & Transp Tech,"[('AT', 49200), ('AT', 49600), ('AT', 49700)]",3,8.0,72,95
"Rose, Nathan T.",Clinical Assistant Professor,Schl of Aviation & Transp Tech,"[('AT', 11901), ('AT', 21900), ('AT', 32501)]",3,9.0,93,130
"Russell, Jeremy D.",Military Science Instructor,Military Science,"[('MSL', 30200), ('MSL', 30200)]",2,8.0,29,40
"Salam, Abdul",Assistant Professor,Computer Information Tech,"[('CNIT', 44500), ('CNIT', 62300)]",2,6.0,7,36
"Salem, Tawfiq M.",Clinical Assistant Professor,Computer Information Tech,"[('CNIT', 10500), ('CNIT', 15501), ('CNIT', 17500)]",3,9.0,380,392
"Saraswat, Dharmendra",Associate Professor,Computer Graphics Technology,"[('CGT', 57500)]",1,3.0,16,20
"Sayedahmed, Adel E.",Assistant Professor,School of Engineering Tech,"[('ECET', 43600)]",1,3.0,14,15
"Schreckengast, Stewart W.",Limited Term Lecturer,Schl of Aviation & Transp Tech,"[('AT', 53200)]",1,3.0,17,22
"Schreiber, Zachary",Student,School of Engineering Tech,"[('ECET', 22400)]",1,3.0,144,150
"Scott, Regena L.",Assistant Professor of Practice,Technology Ldrshp & Innovatn,"[('TLI', 15200), ('TLI', 15200), ('OLS', 45400), ('OLS', 58300)]",4,12.0,308,310
"Sealy, Dominique W.",Assistant Professor,School of Engineering Tech,"[('MFET', 24800)]",1,3.0,51,72
"Seigfried-Spellar, Kathryn C.",Associate Professor,Computer Information Tech,"[('CNIT', 42200), ('CNIT', 60100), ('CNIT', 62300)]",3,9.0,140,141
"Sheffield, John W.",Professor,School of Engineering Tech,"[('MET', 32000)]",1,3.0,72,120
"Smith, Anthony H.",Associate Professor,Computer Information Tech,"[('CNIT', 34600), ('CNIT', 45600)]",2,7.0,33,48
"Soto Ortiz, Sebastian",Student,Schl of Construction Mgmt Tech,"[('CM', 40000)]",1,6.0,26,40
